Date,Country,Cumulative no. of cases,Cumulative no. of deaths,Link
2009-05-01,Israel,2,0,https://www.who.int/csr/don/2009_05_01a/en/
2009-05-01,Mexico,156,9,https://www.who.int/csr/don/2009_05_01a/en/
2009-05-01,Netherlands,1,0,https://www.who.int/csr/don/2009_05_01a/en/
2009-05-01,New Zealand,4,0,https://www.who.int/csr/don/2009_05_01a/en/
2009-05-01,Spain,13,0,https://www.who.int/csr/don/2009_05_01a/en/
2009-05-01,Switzerland,1,0,https://www.who.int/csr/don/2009_05_01a/en/
2009-05-01,United Kingdom,8,0,https://www.who.int/csr/don/2009_05_01a/en/
2009-05-01,United States of America,141,1,https://www.who.int/csr/don/2009_05_01a/en/
2009-05-02,Austria,1,0,https://www.who.int/csr/don/2009_05_02a/en/
2009-05-02,Canada,51,0,https://www.who.int/csr/don/2009_05_02a/en/
2009-05-02,Costa Rica,1,0,https://www.who.int/csr/don/2009_05_02a/en/
2009-05-02,Denmark,1,0,https://www.who.int/csr/don/2009_05_02a/en/
2009-05-02,France,2,0,https://www.who.int/csr/don/2009_05_02a/en/
2009-05-02,Germany,6,0,https://www.who.int/csr/don/2009_05_02a/en/
2009-05-02,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_02a/en/
2009-05-02,Israel,3,0,https://www.who.int/csr/don/2009_05_02a/en/
2009-05-02,Mexico,397,16,https://www.who.int/csr/don/2009_05_02a/en/
2009-05-02,Netherlands,1,0,https://www.who.int/csr/don/2009_05_02a/en/
2009-05-02,New Zealand,4,0,https://www.who.int/csr/don/2009_05_02a/en/
2009-05-02,Republic of Korea,1,0,https://www.who.int/csr/don/2009_05_02a/en/
2009-05-02,Spain,13,0,https://www.who.int/csr/don/2009_05_02a/en/
2009-05-02,Switzerland,1,0,https://www.who.int/csr/don/2009_05_02a/en/
2009-05-02,United Kingdom,15,0,https://www.who.int/csr/don/2009_05_02a/en/
2009-05-02,United States of America,160,1,https://www.who.int/csr/don/2009_05_02a/en/
2009-05-03,Austria,1,0,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-03,Canada,85,0,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-03,Costa Rica,1,0,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-03,Denmark,1,0,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-03,France,2,0,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-03,Germany,8,0,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-03,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-03,Ireland,1,0,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-03,Israel,3,0,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-03,Italy,1,0,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-03,Mexico,506,19,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-03,Netherlands,1,0,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-03,New Zealand,4,0,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-03,Republic of Korea,1,0,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-03,Spain,40,0,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-03,Switzerland,1,0,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-03,United Kingdom,15,0,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-03,United States of America,226,1,https://www.who.int/csr/don/2009_05_03a/en/
2009-05-04,Austria,1,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,Canada,101,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,Colombia,1,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,Costa Rica,1,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,Denmark,1,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,El Salvador,2,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,France,4,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,Germany,8,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,Ireland,1,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,Israel,4,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,Italy,2,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,Mexico,590,25,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,Netherlands,1,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,New Zealand,6,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,Portugal,1,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,Republic of Korea,1,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,Spain,54,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,Switzerland,1,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,United Kingdom,18,0,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-04,United States of America,286,1,https://www.who.int/csr/don/2009_05_04a/en/
2009-05-05,Austria,1,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,Canada,140,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,Colombia,1,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,Costa Rica,1,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,Denmark,1,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,El Salvador,2,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,France,4,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,Germany,9,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,Ireland,1,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,Israel,4,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,Italy,5,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,Mexico,822,29,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,Netherlands,1,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,New Zealand,6,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,Portugal,1,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,Republic of Korea,2,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,Spain,57,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,Switzerland,1,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,United Kingdom,27,0,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-05,United States of America,403,1,https://www.who.int/csr/don/2009_05_05a/en/
2009-05-06,Austria,1,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,Canada,165,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,Colombia,1,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,Costa Rica,1,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,Denmark,1,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,El Salvador,2,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,France,5,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,Germany,9,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,Guatemala,1,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,Ireland,1,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,Israel,4,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,Italy,5,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,Mexico,942,29,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,Netherlands,1,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,New Zealand,6,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,Portugal,1,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,Republic of Korea,2,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,Spain,73,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,Sweden,1,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,Switzerland,1,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,United Kingdom,28,0,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-06,United States of America,642,2,https://www.who.int/csr/don/2009_05_06d/en/
2009-05-07,Austria,1,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Canada,201,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Colombia,1,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Costa Rica,1,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Denmark,1,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,El Salvador,2,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,France,5,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Germany,10,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Guatemala,1,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Ireland,1,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Israel,6,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Italy,5,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Mexico,1112,42,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Netherlands,2,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,New Zealand,5,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Poland,1,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Portugal,1,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Spain,81,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Sweden,1,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,Switzerland,1,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,United Kingdom,32,0,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-07,United States of America,896,2,https://www.who.int/csr/don/2009_05_07a/en/
2009-05-08,Austria,1,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Brazil,4,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Canada,214,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Colombia,1,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Costa Rica,1,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Denmark,1,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,El Salvador,2,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,France,12,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Germany,11,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Guatemala,1,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Ireland,1,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Israel,7,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Italy,6,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Mexico,1204,44,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Netherlands,3,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,New Zealand,5,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Poland,1,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Portugal,1,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Spain,88,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Sweden,1,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,Switzerland,1,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,United Kingdom,34,0,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-08,United States of America,896,2,https://www.who.int/csr/don/2009_05_08a/en/
2009-05-09,Argentina,1,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Australia,1,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Austria,1,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Brazil,6,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Canada,242,1,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Colombia,1,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Costa Rica,1,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Denmark,1,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,El Salvador,2,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,France,12,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Germany,11,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Guatemala,1,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Ireland,1,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Israel,7,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Italy,6,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Japan,3,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Mexico,1364,45,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Netherlands,3,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,New Zealand,5,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Panama,2,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Poland,1,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Portugal,1,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Spain,88,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Sweden,1,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,United Kingdom,34,0,https://www.who.int/csr/don/2009_05_09/en/
2009-05-09,United States of America,1639,2,https://www.who.int/csr/don/2009_05_09/en/
2009-05-10,Argentina,1,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Australia,1,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Austria,1,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Brazil,6,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Canada,280,1,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Colombia,1,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Costa Rica,8,1,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Denmark,1,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,El Salvador,2,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,France,12,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Germany,11,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Guatemala,1,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Ireland,1,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Israel,7,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Italy,9,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Japan,4,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Mexico,1626,45,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Netherlands,3,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,New Zealand,7,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Panama,3,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Poland,1,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Portugal,1,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Spain,93,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Sweden,1,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,Switzerland,1,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,United Kingdom,39,0,https://www.who.int/csr/don/2009_05_10/en/
2009-05-10,United States of America,2254,2,https://www.who.int/csr/don/2009_05_10/en/
2009-05-11,Argentina,1,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Australia,1,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Austria,1,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Brazil,8,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Canada,284,1,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Colombia,3,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Costa Rica,8,1,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Denmark,1,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,El Salvador,4,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,France,13,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Germany,11,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Guatemala,1,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Ireland,1,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Israel,7,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Italy,9,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Japan,4,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Mexico,1626,48,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Netherlands,3,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,New Zealand,7,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Norway,2,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Panama,15,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Poland,1,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Portugal,1,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Spain,95,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Sweden,2,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,Switzerland,1,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,United Kingdom,47,0,https://www.who.int/csr/don/2009_05_11/en/
2009-05-11,United States of America,2532,3,https://www.who.int/csr/don/2009_05_11/en/
2009-05-12,Argentina,1,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Australia,1,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Austria,1,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Brazil,8,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Canada,330,1,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Colombia,3,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Costa Rica,8,1,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Denmark,1,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,El Salvador,4,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,France,13,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Germany,12,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Guatemala,1,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Ireland,1,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Israel,7,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Italy,9,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Japan,4,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Mexico,2059,56,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Netherlands,3,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,New Zealand,7,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Norway,2,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Panama,16,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Poland,1,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Portugal,1,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Spain,95,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Sweden,2,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,Switzerland,1,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,United Kingdom,55,0,https://www.who.int/csr/don/2009_05_12/en/
2009-05-12,United States of America,2600,3,https://www.who.int/csr/don/2009_05_12/en/
2009-05-13,Argentina,1,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Australia,1,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Austria,1,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Brazil,8,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Canada,358,1,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Colombia,6,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Costa Rica,8,1,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Cuba,1,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Denmark,1,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,El Salvador,4,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Finland,2,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,France,13,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Germany,12,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Guatemala,3,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Ireland,1,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Israel,7,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Italy,9,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Japan,4,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Mexico,2059,56,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Netherlands,3,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,New Zealand,7,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Norway,2,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Panama,29,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Poland,1,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Portugal,1,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Spain,98,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Sweden,2,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Switzerland,1,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,Thailand,2,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,United Kingdom,68,0,https://www.who.int/csr/don/2009_05_13/en/
2009-05-13,United States of America,3009,3,https://www.who.int/csr/don/2009_05_13/en/
2009-05-14,Argentina,1,0,https://www.who.int/csr/don/2009_05_14/en/
2009-05-14,Australia,1,0,https://www.who.int/csr/don/2009_05_14/en/
2009-05-14,Austria,1,0,https://www.who.int/csr/don/2009_05_14/en/
2009-05-14,Brazil,8,0,https://www.who.int/csr/don/2009_05_14/en/
2009-05-14,Canada,389,1,https://www.who.int/csr/don/2009_05_14/en/
